Activation Function,Metric,FLF-sMAPE,MLF-sMAPE,Improvement (%)
tanh,Open,16.63466459,0.481765211,97.1038478
tanh,High,11.81316509,0.360794060,96.9458307
tanh,Low,8.934581860,0.470162829,94.7377187
tanh,Close,6.984624109,0.460076209,93.4130141
relu,Open,93.56299434,2.246007087,97.5994707
relu,High,95.06258437,2.281169822,97.6003495
relu,Low,106.3238017,2.227115340,97.9053464
relu,Close,87.76622643,2.060255266,97.6525648
sigmoid,Open,9.676282352,8.994075903,7.0502950
sigmoid,High,12.42639094,9.147121191,26.3895589
sigmoid,Low,12.46539150,8.797101458,29.4277965
sigmoid,Close,12.47489363,9.546638789,23.4731849